0,1,2,3,4,5,6,7,8,9,10,11,12,13
Purpose,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Pleasure/,,,,,,,,,,,,,
,67.4,67.1,73.2,80.0,78.9,80.4,74.4,72.7,67.95,66.6,83.4,82.4,81.72
Holiday,,,,,,,,,,,,,
Business,17.8,10.5,8.5,8.6,12.7,8.0,9.0,5.2,1.33,1.3,1.8,3.3,3.95
Visi(cid:415) ng Friends,,,,,,,,,,,,,
,7.6,8.3,8.3,5.2,5.4,8.2,11.7,12.4,27.45,25.5,11.5,11.3,10.84
& Rela(cid:415) ons,,,,,,,,,,,,,
Conven(cid:415) on &,,,,,,,,,,,,,
,3.0,1.5,1.3,1.4,1.0,1.7,2.2,2.0,0.29,0.2,0.8,1.3,1.71
mee(cid:415) ng,,,,,,,,,,,,,
Religious &,,,,,,,,,,,,,
,1.7,2.8,2.6,2.0,0.8,0.3,2.2,4.8,0.01,0.1,0.0,0.0,0.09
Cultural,,,,,,,,,,,,,
Health,-,-,-,-,-,-,-,-,0.53,3.2,0.6,0.5,0.89
Sports,-,-,-,-,-,-,-,-,0.53,0.7,0.4,0.8,0.64
Oﬃ  cial,-,-,-,-,-,-,-,-,0.3,0.4,0.3,0.3,0.06
Educa(cid:415) on,-,-,-,-,-,-,-,-,0.11,0.2,0.0,0.1,0.06
Others,2.5,9.8,6.1,2.8,1.2,1.4,0.5,2.9,1.49,1.7,1.2,0.0,0.04
