0,1,2,3
2,,,Sri Lanka Tourism Development Authority >>>>> Statistical Report 2018
,Sta(cid:415) s(cid:415) cal Charts,,
,,Chart                                                                                                                                             Page No.,
,1.,"Interna(cid:415) onal Tourist Arrivals, Change (%)",13
,1a.,"Interna(cid:415) onal Tourist Arrivals, Change by Sub Regions",13
,2.,Tourist Arrivals – 2001 to 2018,16
,3.,Tourist Arrivals Growth Change- 2001 to 2018,16
,4,Tourist Receipts (US$) - 2001 to 2018,17
,5.,Distribu(cid:415) on of Total Foreign Exchange Earnings (Percentage) - 2018,19
,6.,Distribu(cid:415) on of Market Areas (Percentage) – 2018,22
,7.,Top Ten Source Markets – 2018,23
,8.,Seasonality of Traﬃ  c – 2018 (Seasonal Indices),25
,8a.,Tourist Arrivals & Percentage Change 2018/2017,25
,9.,Distribu(cid:415) on by Ports of Arrival (Percentage) - 2018,26
,10.,Distribu(cid:415) on by purpose of visit (Percentage)- 2018,28
,11.,Distribu(cid:415) on of Average Dura(cid:415) on of Stay (Nights) - 2018,29
,12.,Distribu(cid:415) on of Period of Stay (Percentage) - 2018,30
,13,Distribu(cid:415) on of Tourists by Sex and Region (Percentage)-2018,31
,14,Distribu(cid:415) on of Tourists by Age Group (Percentage) - 2018,32
,15,Distribu(cid:415) on of Occupa(cid:415) onal Categories (Percentage)- 2018,33
,16,Distribu(cid:415) on of Tourist Arrivals by Type of Carrier (Percentage)- 2017-2018,34
,17,Distribu(cid:415) on of Total Sea(cid:415) ng Capacity by Carrier (Percentage)- 2018,35
,18,Distribu(cid:415) on of Accommoda(cid:415) on Capacity by Region (Percentage)- 2018,38
,19,Distribu(cid:415) on of Occupancy Rates by Month (Percentage)- 2018,39
