0,1,2,3,4,5,6,7,8,9,10
,,,,Distribution - 2002 to 2011,,,,,,
Resort Regions,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Colombo City,"2,599","2,571","2,670","2,926","3,209","3,209","3,188","3,190","3,141","3,086"
Greater Colombo,"2,415","2,526","2,581","2,490","2,520","2,555","2,651","2,494","2,640","2,573"
South Coast,"5,504","5,521","5,632","4,431","5,112","5,505","5,370","4,940","5,099","5,037"
East Coast,165,258,263,178,184,184,230,230,238,238
High Country,669,709,690,709,726,734,772,928,847,940
Ancient Cities,"2,466","2,552","2,486","2,428","2,467","2,417","2,582","2,679","2,749","2,779"
Northern Region,-,-,-,-,-,-,-,-,-,-
All Regions,"13,818","14,137","14,322","13,162","14,218","14,604","14,793","14,461","14,714","14,653"
