0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,Table 3
,Tourist Arrivals by Country of Residence & Month - 2012,,,,,,,,,,,,,
,,,,,,,,,,,,,,Season
Country of,,,,,,,,,,,,,,-ality
Residence,Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ratio
NORTH AMERICA,"59,236","5,177","4,166","4,795","3,238","3,686","6,293","7,018","5,006","3,358","4,226","5,798","6,475",1.4
Canada,"29,329","2,433","2,252","2,453","1,660","1,924","3,350","4,055","2,457","1,490","1,894","2,542","2,819",1.7
U.S.A.,"29,907","2,744","1,914","2,342","1,578","1,762","2,943","2,963","2,549","1,868","2,332","3,256","3,656",1.5
LATIN AMERICA &,,,,,,,,,,,,,,
THE CARIBBEAN,"1,626",311,119,119,82,61,72,98,135,133,148,170,178,2.3
WESTERN EUROPE,"373,063","36,497","38,364","39,813","25,018","15,596","17,314","41,584","32,656","22,327","24,303","35,892","43,699",1.4
Austria,"7,991","1,049","1,359","1,259",521,168,132,667,398,240,398,877,923,2.0
Belgium,"11,323","1,388","1,097","1,112",995,232,378,"1,773",978,647,505,"1,221",997,1.9
Denmark,"8,323","1,534",868,992,389,161,371,989,281,145,341,651,"1,601",2.3
Finland,"4,840","1,109",993,634,195,116,154,193,110,98,177,319,742,2.7
France,"56,863","4,782","6,378","6,519","4,533","3,225","2,267","6,189","5,473","3,030","3,475","5,441","5,551",1.4
Germany,"71,642","5,933","7,654","7,865","4,645","2,930","3,054","5,852","6,162","4,942","5,385",8161,"9,059",1.5
Netherlands,"26,754","3,590","2,987","2,765","1,419",951,"1,007","3,964","1,952","1,456","1,201","2,310","3,152",1.8
Italy,"15,871","2,109","1,564","1,342",779,729,621,"1,353","2,381",797,831,"1,289","2,076",1.8
Norway,"7,703",987,367,297,344,289,"1,435","1,745",316,224,355,622,722,2.7
Spain,"8,319",906,765,423,897,287,616,803,"1,079",504,567,716,756,1.6
Sweden,"13,775","2,876","2,654","2,341",632,440,269,979,243,151,297,947,"1,946",2.5
Switzerland,"20,054","1,897","2,345","1,908","1,189",644,641,"2,950","1,127","1,106","1,634","1,864","2,749",1.8
U.K,"114,218","8,162","8,746","12,032","8,019","4,940","6,076","13,643","11,558","8,586","8,767","10,828","12,861",1.4
Others,"5,387",175,587,324,461,484,293,484,598,401,370,646,564,1.4
EASTERN EUROPE,"72,401","6,959","8,083","7,181","3,583","2,367","2,594","3,246","3,953","4,673","7,048","12,406","10,308",2.0
Russia,"28,402","2,790","2,998","2,502","1,908",886,780,978,"1,345","1,709","2,559","5,050","4,897",2.1
Ukraine,"22,348","1,871","2,010","1,851","1,012",826,981,956,"1,131","1,599","2,600","4,236","3,275",2.3
Others,"21,651","2,298","3,075","2,828",663,655,833,"1,312","1,477","1,365","1,889","3,120","2,136",1.7
AFRICA,"5,045",345,379,410,265,257,230,365,405,693,697,447,552,1.7
South Africa,"3,048",166,180,275,176,161,160,205,249,348,426,301,401,1.7
Others,"1,997",179,199,135,89,96,70,160,156,345,271,146,151,2.1
MIDDLE EAST,"56,169","3,874","3,563","4,274","3,803","2,675","5,915","5,491","4,950","4,166","5,234","6,151","6,073",1.3
ASIA,"380,289","28,498","25,671","31,054","29,482","30,140","28,769","27,473","27,993","30,757","34,706","41,643","44,103",1.4
China (P.R.),"25,781","1,952","1,940","1,442","1,497","1,564","1,227","1,966","2,360","2,675","2,200","3,353","3,605",1.7
"Hong Kong, China","1,535",172,112,121,191,147,151,58,106,88,62,162,165,1.5
India,"176,340","14,615","11,342","14,391","15,432","15,888","13,758","11,564","11,242","13,888","17,654","17,625","18,941",1.3
Indonesia,"2,890",201,209,555,198,158,263,173,217,141,153,199,423,2.3
Japan,"26,085","1,866","2,345","1,752","1,689","1,140","1,411","2,366","3,302","2,385","1,738","3,184","2,907",1.5
Korea (South),"7,838",897,645,645,421,493,433,897,708,404,499,871,925,1.4
Malaysia,"21,776","1,403","1,543","1,958","1,232","1,854","1,715","1,640","1,769","1,596","2,462","2,158","2,446",1.4
Maldives,"47,572","3,129","2,675","3,852","3,042","3,690","4,214","3,102","3,533","3,701","3,509","6,561","6,564",1.7
Pakistan,"16,056",998,989,"1,786","1,327",827,"1,425","1,654",864,"1,719","1,482","1,488","1,497",1.3
Philippines,"5,687",297,458,156,470,653,828,224,288,244,281,813,975,2.1
Singapore,"17,273","1,453","1,342","1,564","1,253","1,103","1,284","1,459","1,112","1,082","1,032","1,713","2,876",2.0
Thailand,"7,897",398,543,675,818,984,476,827,580,317,612,788,879,1.5
Taiwan (P.C.),"12,703",565,794,"1,071",897,992,756,853,973,"1,542","1,902","1,249","1,109",1.9
Others,"10,856",552,734,"1,086","1,015",647,828,690,939,975,"1,120","1,479",791,1.7
AUSTRALASIA,"57,776","4,213","3,204","3,456","4,120","2,724","4,058","5,063","4,358","5,004","4,017","6,695","10,864",2.3
Australia,"51,614","3,855","2,908","3,047","3,554","2,385","3,596","4,500","3,751","4,446","3,609","5,976","9,987",2.3
New Zealand,"5,641",332,227,345,484,331,376,544,575,530,378,696,823,1.8
Others,521,26,69,64,82,8,86,19,32,28,30,23,54,2.0
Total,"1,005,605","85,874","83,549","91,102","69,591","57,506","65,245","90,338","79,456","71,111",,"80,379 109,202 122,252",,1.5
