0,1,2,3,4,5,6
J,anuary 2023,,,,,
An analysis of tourist arrivals by purpose of visit reveals that a majority 55.7% of tourists had,,,,,,
"visited Sri Lanka for pleasure/vacation, while for 17% of tourists the main purpose was visiting",,,,,,
friends and relatives. Only 4.5% of tourists had visited for business related purposes. 6% had,,,,,,
"visited  for  MICE  purposes,  while  1.1%  and  0.2%  had  visited for  purposes such  as  health /",,,,,,
ayuruvedic and sports.,,,,,,
"The  majority  of  tourists  visiting  Sri  Lanka  from  the  top  source  markets  of  Russia,  India,",,,,,,
"Germany,  the  United  Kingdom,  France,  and  Israel,  travelled  to  Sri  Lanka  for  pleasure  or",,,,,,
"vacation.  Specifically,  57%  of  tourists  from  Russia,  52.4%  from  India,  70%  from  Germany,",,,,,,
"52% from the United Kingdom, 70% from France, and 69% from Israel visited Sri Lanka for",,,,,,
this  purpose.,It,is  noteworthy,that,for  majority  of,tourists,from  Canada(73%)  and
Australia(67%) the main purpose of visit was seeing their friends and relatives. Only 20% of,,,,,,
tourists  from  Canada  and  23%  of  tourists  from  Australia  had  come  for  pleasure/vacation,,,,,,
purpose. Further 18.5% of tourists from Israel and 7.4% of Indians had come to Sri Lanka for,,,,,,
"Meetiings,  Incentives,  Conferences  and  Exhibitions  while  22.3%  of  Indians  had  visited  Sri",,,,,,
Lanka for Business purposes.,,,,,,
